IAB,age,dp_ct,frequency_app_update,frequency_of_appearence_in_days,id,life,max_hop,max_val,mean_hop,min_val,gender_Female,gender_Male,gender_O,gender_Unknown,DeviceOS_value_Android,DeviceOS_value_BlackBerry OS,DeviceOS_value_Linux,DeviceOS_value_Mac OS X,DeviceOS_value_MeeGo,DeviceOS_value_Other,DeviceOS_value_Symbian OS,DeviceOS_value_Ubuntu,DeviceOS_value_Unknown,DeviceOS_value_Windows 10,DeviceOS_value_Windows 7,DeviceOS_value_Windows 8,DeviceOS_value_Windows 8.1,DeviceOS_value_Windows Phone,DeviceOS_value_Windows RT,DeviceOS_value_Windows Vista,DeviceOS_value_Windows XP,DeviceOS_value_android,DeviceOS_value_iOS,DeviceOS_value_ios,mean_val
{},25,3,0,7,000174f2-5996-4c0f-9e88-ac6dd089c214,459,160,491,76,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65
{},25,1,0,34,0002ef1a-ae5b-4144-ba6e-8aeddb9e3426,498,50,640,15,142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
,25,1,0,7,000343f5-26d7-49d1-a3b8-25fe84f04105,330,280,332,47,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47
"{'IAB19': 213, 'IAB22': 213, 'IAB3': 213, 'IAB9': 213, 'IAB9_23': 213, 'IAB9_30': 213}",25,4,0,37,0003d0d5-beaa-4876-b382-adfd43ea45a2,458,39,640,12,182,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"{'IAB12': 213, 'IAB22': 213, 'IAB3': 213}",50,2,0,6,00077668-d459-4de6-b0e1-e57d2e8e4443,90,30,112,18,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"{'IAB17_44': 213, 'IAB22': 213, 'IAB3_4': 213}",25,2,0,2,0007c748-b408-474e-8444-cafcb5f5eb53,389,389,561,389,172,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,194
"{'IAB12': 213, 'IAB19': 213, 'IAB1_7': 213, 'IAB22': 213, 'IAB3': 213, 'IAB301': 624, 'IAB302_2': 624, 'IAB308_1': 624, 'IAB318_8': 624, 'IAB9': 213}",21,5,6,23,000853b8-16f5-41ab-9c2e-e6a85c84289a,220,10,222,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
{'IAB22': 213},25,3,0,10,00095ed6-6337-4070-8541-e856b6e2a8a1,439,269,581,48,142,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43
"{'IAB19': 213, 'IAB9': 213, 'IAB9_7': 213}",25,4,0,18,000aab14-5cb2-4eec-a2b7-553afd39e7c6,628,340,630,34,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
{'IAB22': 213},25,4,3,4,000ab800-a390-4764-a7df-409529fa7999,30,10,162,10,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
{},25,2,3,3,000f3f70-0897-46b4-8fc9-bf244005af95,20,10,22,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
{'IAB14': 213},18,2,0,49,000f4a93-c0af-495f-b795-4e223c8dacdf,509,30,561,10,52,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
